timeStep    from platoon        to platoon          comment             


8.13       CACC2                CACC1                Merge_Request       
8.14       CACC2                -                    Merge_Start         

10.71      CACC3                CACC2                Merge_Request       
10.71      CACC3                -                    Merge_Reject        
10.81      CACC3                CACC2                Merge_Request       
10.81      CACC3                -                    Merge_Reject        
10.91      CACC3                CACC2                Merge_Request       
10.91      CACC3                -                    Merge_Reject        
11.01      CACC3                CACC2                Merge_Request       
11.01      CACC3                -                    Merge_Reject        
11.11      CACC3                CACC2                Merge_Request       
11.11      CACC3                -                    Merge_Reject        
11.21      CACC3                CACC2                Merge_Request       
11.21      CACC3                -                    Merge_Reject        
11.31      CACC3                CACC2                Merge_Request       
11.31      CACC3                -                    Merge_Reject        
11.41      CACC3                CACC2                Merge_Request       
11.41      CACC3                -                    Merge_Reject        
11.51      CACC3                CACC2                Merge_Request       
11.51      CACC3                -                    Merge_Reject        
11.61      CACC3                CACC2                Merge_Request       
11.61      CACC3                -                    Merge_Reject        
11.71      CACC3                CACC2                Merge_Request       
11.71      CACC3                -                    Merge_Reject        
11.81      CACC3                CACC2                Merge_Request       
11.81      CACC3                -                    Merge_Reject        
11.91      CACC3                CACC2                Merge_Request       
11.91      CACC3                -                    Merge_Reject        

11.94      CACC2                -                    Merge_End           

12.01      CACC3                CACC1                Merge_Request       
12.01      CACC3                -                    Merge_Start         
13.11      CACC3                -                    Merge_End           

13.63      CACC4                CACC1                Merge_Request       
13.63      CACC4                -                    Merge_Start         
14.63      CACC4                -                    Merge_End           

15.72      CACC5                CACC1                Merge_Request       
15.72      CACC5                -                    Merge_Start         

18.34      CACC6                CACC5                Merge_Request       
18.35      CACC6                -                    Merge_Reject        
18.44      CACC6                CACC5                Merge_Request       
18.45      CACC6                -                    Merge_Reject        
18.54      CACC6                CACC5                Merge_Request       
18.55      CACC6                -                    Merge_Reject        
18.64      CACC6                CACC5                Merge_Request       
18.65      CACC6                -                    Merge_Reject        
18.74      CACC6                CACC5                Merge_Request       
18.75      CACC6                -                    Merge_Reject        
18.84      CACC6                CACC5                Merge_Request       
18.85      CACC6                -                    Merge_Reject        
18.94      CACC6                CACC5                Merge_Request       
18.95      CACC6                -                    Merge_Reject        
19.04      CACC6                CACC5                Merge_Request       
19.05      CACC6                -                    Merge_Reject        
19.14      CACC6                CACC5                Merge_Request       
19.15      CACC6                -                    Merge_Reject        
19.24      CACC6                CACC5                Merge_Request       
19.25      CACC6                -                    Merge_Reject        
19.34      CACC6                CACC5                Merge_Request       
19.35      CACC6                -                    Merge_Reject        
19.44      CACC6                CACC5                Merge_Request       
19.45      CACC6                -                    Merge_Reject        
19.54      CACC6                CACC5                Merge_Request       
19.55      CACC6                -                    Merge_Reject        
19.64      CACC6                CACC5                Merge_Request       
19.65      CACC6                -                    Merge_Reject        
19.74      CACC6                CACC5                Merge_Request       
19.75      CACC6                -                    Merge_Reject        
19.84      CACC6                CACC5                Merge_Request       
19.85      CACC6                -                    Merge_Reject        
19.94      CACC6                CACC5                Merge_Request       
19.95      CACC6                -                    Merge_Reject        
20.04      CACC6                CACC5                Merge_Request       
20.05      CACC6                -                    Merge_Reject        
20.14      CACC6                CACC5                Merge_Request       
