index     vehicle   timeStep    speed     accel       pos         gap       timeGap   

1          ACC1       1.00       0.00       0.00       5.10       -1.00      -1.00      
2          ACC1       1.10       0.30       3.00       5.13       -1.00      -1.00      
3          ACC1       1.20       0.60       3.00       5.19       -1.00      -1.00      
4          ACC1       1.30       0.90       3.00       5.28       -1.00      -1.00      
5          ACC1       1.40       1.20       3.00       5.40       -1.00      -1.00      
6          ACC1       1.50       1.50       3.00       5.55       -1.00      -1.00      
7          ACC1       1.60       1.80       3.00       5.73       -1.00      -1.00      
8          ACC1       1.70       2.10       3.00       5.94       -1.00      -1.00      
9          ACC1       1.80       2.40       3.00       6.18       -1.00      -1.00      
10         ACC1       1.90       2.70       3.00       6.45       -1.00      -1.00      
11         ACC1       2.00       3.00       3.00       6.75       -1.00      -1.00      
12         ACC1       2.10       3.30       3.00       7.08       -1.00      -1.00      
13         ACC1       2.20       3.60       3.00       7.44       -1.00      -1.00      
14         ACC1       2.30       3.90       3.00       7.83       -1.00      -1.00      
15         ACC1       2.40       4.20       3.00       8.25       -1.00      -1.00      
16         ACC1       2.50       4.50       3.00       8.70       -1.00      -1.00      
17         ACC1       2.60       4.80       3.00       9.18       -1.00      -1.00      
18         ACC1       2.70       5.10       3.00       9.69       -1.00      -1.00      
19         ACC1       2.80       5.40       3.00       10.23      -1.00      -1.00      
20         ACC1       2.90       5.70       3.00       10.80      -1.00      -1.00      
21         ACC1       3.00       6.00       3.00       11.40      -1.00      -1.00      
22         ACC1       3.10       6.30       3.00       12.03      -1.00      -1.00      
23         ACC1       3.20       6.60       3.00       12.69      -1.00      -1.00      
24         ACC1       3.30       6.90       3.00       13.38      -1.00      -1.00      
25         ACC1       3.40       7.20       3.00       14.10      -1.00      -1.00      
26         ACC1       3.50       7.50       3.00       14.85      -1.00      -1.00      
27         ACC1       3.60       7.80       3.00       15.63      -1.00      -1.00      
28         ACC1       3.70       8.10       3.00       16.44      -1.00      -1.00      
29         ACC1       3.80       8.40       3.00       17.28      -1.00      -1.00      
30         ACC1       3.90       8.70       3.00       18.15      -1.00      -1.00      
31         ACC1       4.00       9.00       3.00       19.05      -1.00      -1.00      
32         ACC1       4.10       9.30       3.00       19.98      -1.00      -1.00      
33         ACC1       4.20       9.60       3.00       20.94      -1.00      -1.00      
34         ACC1       4.30       9.90       3.00       21.93      -1.00      -1.00      
35         ACC1       4.40       10.20      3.00       22.95      -1.00      -1.00      
36         ACC1       4.50       10.50      3.00       24.00      -1.00      -1.00      
37         ACC1       4.60       10.80      3.00       25.08      -1.00      -1.00      
38         ACC1       4.70       11.10      3.00       26.19      -1.00      -1.00      
39         ACC1       4.80       11.40      3.00       27.33      -1.00      -1.00      
40         ACC1       4.90       11.70      3.00       28.50      -1.00      -1.00      
41         ACC1       5.00       12.00      3.00       29.70      -1.00      -1.00      
41         ACC2       5.00       0.00       0.00       5.10       19.60      -1.00      
42         ACC1       5.10       12.30      3.00       30.93      -1.00      -1.00      
42         ACC2       5.10       0.20       2.00       5.12       20.81      104.05     
43         ACC1       5.20       12.60      3.00       32.19      -1.00      -1.00      
43         ACC2       5.20       0.40       2.00       5.16       22.03      55.08      
44         ACC1       5.30       12.90      3.00       33.48      -1.00      -1.00      
